degrees,radius,position_y,image_id,orientation,contrast,filename,phase,position_x,spatial_frequency,image_file_name
12,0.16666666666666666,-2.5,0,0.0,1,0.png,0.0,-2.5,3,dicarlo.Marques2020_receptive_field_000000000000.png
12,0.16666666666666666,-2.5,1,0.0,1,1.png,180.0,-2.5,3,dicarlo.Marques2020_receptive_field_000000000001.png
12,0.16666666666666666,-2.5,2,45.0,1,2.png,0.0,-2.5,3,dicarlo.Marques2020_receptive_field_000000000100.png
12,0.16666666666666666,-2.5,3,45.0,1,3.png,180.0,-2.5,3,dicarlo.Marques2020_receptive_field_000000000101.png
12,0.16666666666666666,-2.5,4,90.0,1,4.png,0.0,-2.5,3,dicarlo.Marques2020_receptive_field_000000000200.png
12,0.16666666666666666,-2.5,5,90.0,1,5.png,180.0,-2.5,3,dicarlo.Marques2020_receptive_field_000000000201.png
12,0.16666666666666666,-2.5,6,135.0,1,6.png,0.0,-2.5,3,dicarlo.Marques2020_receptive_field_000000000300.png
12,0.16666666666666666,-2.5,7,135.0,1,7.png,180.0,-2.5,3,dicarlo.Marques2020_receptive_field_000000000301.png
12,0.16666666666666666,-2.5,8,0.0,1,8.png,0.0,-2.25,3,dicarlo.Marques2020_receptive_field_000100000000.png
12,0.16666666666666666,-2.5,9,0.0,1,9.png,180.0,-2.25,3,dicarlo.Marques2020_receptive_field_000100000001.png
12,0.16666666666666666,-2.5,10,45.0,1,10.png,0.0,-2.25,3,dicarlo.Marques2020_receptive_field_000100000100.png
12,0.16666666666666666,-2.5,11,45.0,1,11.png,180.0,-2.25,3,dicarlo.Marques2020_receptive_field_000100000101.png
12,0.16666666666666666,-2.5,12,90.0,1,12.png,0.0,-2.25,3,dicarlo.Marques2020_receptive_field_000100000200.png
12,0.16666666666666666,-2.5,13,90.0,1,13.png,180.0,-2.25,3,dicarlo.Marques2020_receptive_field_000100000201.png
12,0.16666666666666666,-2.5,14,135.0,1,14.png,0.0,-2.25,3,dicarlo.Marques2020_receptive_field_000100000300.png
12,0.16666666666666666,-2.5,15,135.0,1,15.png,180.0,-2.25,3,dicarlo.Marques2020_receptive_field_000100000301.png
12,0.16666666666666666,-2.5,16,0.0,1,16.png,0.0,-2.0,3,dicarlo.Marques2020_receptive_field_000200000000.png
12,0.16666666666666666,-2.5,17,0.0,1,17.png,180.0,-2.0,3,dicarlo.Marques2020_receptive_field_000200000001.png
12,0.16666666666666666,-2.5,18,45.0,1,18.png,0.0,-2.0,3,dicarlo.Marques2020_receptive_field_000200000100.png
12,0.16666666666666666,-2.5,19,45.0,1,19.png,180.0,-2.0,3,dicarlo.Marques2020_receptive_field_000200000101.png
12,0.16666666666666666,-2.5,20,90.0,1,20.png,0.0,-2.0,3,dicarlo.Marques2020_receptive_field_000200000200.png
12,0.16666666666666666,-2.5,21,90.0,1,21.png,180.0,-2.0,3,dicarlo.Marques2020_receptive_field_000200000201.png
12,0.16666666666666666,-2.5,22,135.0,1,22.png,0.0,-2.0,3,dicarlo.Marques2020_receptive_field_000200000300.png
12,0.16666666666666666,-2.5,23,135.0,1,23.png,180.0,-2.0,3,dicarlo.Marques2020_receptive_field_000200000301.png
12,0.16666666666666666,-2.5,24,0.0,1,24.png,0.0,-1.75,3,dicarlo.Marques2020_receptive_field_000300000000.png
12,0.16666666666666666,-2.5,25,0.0,1,25.png,180.0,-1.75,3,dicarlo.Marques2020_receptive_field_000300000001.png
12,0.16666666666666666,-2.5,26,45.0,1,26.png,0.0,-1.75,3,dicarlo.Marques2020_receptive_field_000300000100.png
12,0.16666666666666666,-2.5,27,45.0,1,27.png,180.0,-1.75,3,dicarlo.Marques2020_receptive_field_000300000101.png
12,0.16666666666666666,-2.5,28,90.0,1,28.png,0.0,-1.75,3,dicarlo.Marques2020_receptive_field_000300000200.png
12,0.16666666666666666,-2.5,29,90.0,1,29.png,180.0,-1.75,3,dicarlo.Marques2020_receptive_field_000300000201.png
12,0.16666666666666666,-2.5,30,135.0,1,30.png,0.0,-1.75,3,dicarlo.Marques2020_receptive_field_000300000300.png
12,0.16666666666666666,-2.5,31,135.0,1,31.png,180.0,-1.75,3,dicarlo.Marques2020_receptive_field_000300000301.png
12,0.16666666666666666,-2.5,32,0.0,1,32.png,0.0,-1.5,3,dicarlo.Marques2020_receptive_field_000400000000.png
12,0.16666666666666666,-2.5,33,0.0,1,33.png,180.0,-1.5,3,dicarlo.Marques2020_receptive_field_000400000001.png
12,0.16666666666666666,-2.5,34,45.0,1,34.png,0.0,-1.5,3,dicarlo.Marques2020_receptive_field_000400000100.png
12,0.16666666666666666,-2.5,35,45.0,1,35.png,180.0,-1.5,3,dicarlo.Marques2020_receptive_field_000400000101.png
12,0.16666666666666666,-2.5,36,90.0,1,36.png,0.0,-1.5,3,dicarlo.Marques2020_receptive_field_000400000200.png
12,0.16666666666666666,-2.5,37,90.0,1,37.png,180.0,-1.5,3,dicarlo.Marques2020_receptive_field_000400000201.png
12,0.16666666666666666,-2.5,38,135.0,1,38.png,0.0,-1.5,3,dicarlo.Marques2020_receptive_field_000400000300.png
12,0.16666666666666666,-2.5,39,135.0,1,39.png,180.0,-1.5,3,dicarlo.Marques2020_receptive_field_000400000301.png
12,0.16666666666666666,-2.5,40,0.0,1,40.png,0.0,-1.25,3,dicarlo.Marques2020_receptive_field_000500000000.png
12,0.16666666666666666,-2.5,41,0.0,1,41.png,180.0,-1.25,3,dicarlo.Marques2020_receptive_field_000500000001.png
12,0.16666666666666666,-2.5,42,45.0,1,42.png,0.0,-1.25,3,dicarlo.Marques2020_receptive_field_000500000100.png
12,0.16666666666666666,-2.5,43,45.0,1,43.png,180.0,-1.25,3,dicarlo.Marques2020_receptive_field_000500000101.png
12,0.16666666666666666,-2.5,44,90.0,1,44.png,0.0,-1.25,3,dicarlo.Marques2020_receptive_field_000500000200.png
12,0.16666666666666666,-2.5,45,90.0,1,45.png,180.0,-1.25,3,dicarlo.Marques2020_receptive_field_000500000201.png
12,0.16666666666666666,-2.5,46,135.0,1,46.png,0.0,-1.25,3,dicarlo.Marques2020_receptive_field_000500000300.png
12,0.16666666666666666,-2.5,47,135.0,1,47.png,180.0,-1.25,3,dicarlo.Marques2020_receptive_field_000500000301.png
12,0.16666666666666666,-2.5,48,0.0,1,48.png,0.0,-1.0,3,dicarlo.Marques2020_receptive_field_000600000000.png
12,0.16666666666666666,-2.5,49,0.0,1,49.png,180.0,-1.0,3,dicarlo.Marques2020_receptive_field_000600000001.png
12,0.16666666666666666,-2.5,50,45.0,1,50.png,0.0,-1.0,3,dicarlo.Marques2020_receptive_field_000600000100.png
12,0.16666666666666666,-2.5,51,45.0,1,51.png,180.0,-1.0,3,dicarlo.Marques2020_receptive_field_000600000101.png
12,0.16666666666666666,-2.5,52,90.0,1,52.png,0.0,-1.0,3,dicarlo.Marques2020_receptive_field_000600000200.png
12,0.16666666666666666,-2.5,53,90.0,1,53.png,180.0,-1.0,3,dicarlo.Marques2020_receptive_field_000600000201.png
12,0.16666666666666666,-2.5,54,135.0,1,54.png,0.0,-1.0,3,dicarlo.Marques2020_receptive_field_000600000300.png
12,0.16666666666666666,-2.5,55,135.0,1,55.png,180.0,-1.0,3,dicarlo.Marques2020_receptive_field_000600000301.png
12,0.16666666666666666,-2.5,56,0.0,1,56.png,0.0,-0.75,3,dicarlo.Marques2020_receptive_field_000700000000.png
12,0.16666666666666666,-2.5,57,0.0,1,57.png,180.0,-0.75,3,dicarlo.Marques2020_receptive_field_000700000001.png
12,0.16666666666666666,-2.5,58,45.0,1,58.png,0.0,-0.75,3,dicarlo.Marques2020_receptive_field_000700000100.png
