degrees,radius,position_y,image_id,orientation,contrast,filename,phase,position_x,spatial_frequency,image_file_name
12,0.10511205190671433,0.5,0,0.0,1,0.png,0.0,0.5,1,dicarlo.Marques2020_size_000000000000.png
12,0.10511205190671433,0.5,1,0.0,1,1.png,45.0,0.5,1,dicarlo.Marques2020_size_000000000001.png
12,0.10511205190671433,0.5,2,0.0,1,2.png,90.0,0.5,1,dicarlo.Marques2020_size_000000000002.png
12,0.10511205190671433,0.5,3,0.0,1,3.png,135.0,0.5,1,dicarlo.Marques2020_size_000000000003.png
12,0.10511205190671433,0.5,4,0.0,1,4.png,180.0,0.5,1,dicarlo.Marques2020_size_000000000004.png
12,0.10511205190671433,0.5,5,0.0,1,5.png,225.0,0.5,1,dicarlo.Marques2020_size_000000000005.png
12,0.10511205190671433,0.5,6,0.0,1,6.png,270.0,0.5,1,dicarlo.Marques2020_size_000000000006.png
12,0.10511205190671433,0.5,7,0.0,1,7.png,315.0,0.5,1,dicarlo.Marques2020_size_000000000007.png
12,0.10511205190671433,0.5,8,30.0,1,8.png,0.0,0.5,1,dicarlo.Marques2020_size_000000000100.png
12,0.10511205190671433,0.5,9,30.0,1,9.png,45.0,0.5,1,dicarlo.Marques2020_size_000000000101.png
12,0.10511205190671433,0.5,10,30.0,1,10.png,90.0,0.5,1,dicarlo.Marques2020_size_000000000102.png
12,0.10511205190671433,0.5,11,30.0,1,11.png,135.0,0.5,1,dicarlo.Marques2020_size_000000000103.png
12,0.10511205190671433,0.5,12,30.0,1,12.png,180.0,0.5,1,dicarlo.Marques2020_size_000000000104.png
12,0.10511205190671433,0.5,13,30.0,1,13.png,225.0,0.5,1,dicarlo.Marques2020_size_000000000105.png
12,0.10511205190671433,0.5,14,30.0,1,14.png,270.0,0.5,1,dicarlo.Marques2020_size_000000000106.png
12,0.10511205190671433,0.5,15,30.0,1,15.png,315.0,0.5,1,dicarlo.Marques2020_size_000000000107.png
12,0.10511205190671433,0.5,16,60.0,1,16.png,0.0,0.5,1,dicarlo.Marques2020_size_000000000200.png
12,0.10511205190671433,0.5,17,60.0,1,17.png,45.0,0.5,1,dicarlo.Marques2020_size_000000000201.png
12,0.10511205190671433,0.5,18,60.0,1,18.png,90.0,0.5,1,dicarlo.Marques2020_size_000000000202.png
12,0.10511205190671433,0.5,19,60.0,1,19.png,135.0,0.5,1,dicarlo.Marques2020_size_000000000203.png
12,0.10511205190671433,0.5,20,60.0,1,20.png,180.0,0.5,1,dicarlo.Marques2020_size_000000000204.png
12,0.10511205190671433,0.5,21,60.0,1,21.png,225.0,0.5,1,dicarlo.Marques2020_size_000000000205.png
12,0.10511205190671433,0.5,22,60.0,1,22.png,270.0,0.5,1,dicarlo.Marques2020_size_000000000206.png
12,0.10511205190671433,0.5,23,60.0,1,23.png,315.0,0.5,1,dicarlo.Marques2020_size_000000000207.png
12,0.10511205190671433,0.5,24,90.0,1,24.png,0.0,0.5,1,dicarlo.Marques2020_size_000000000300.png
12,0.10511205190671433,0.5,25,90.0,1,25.png,45.0,0.5,1,dicarlo.Marques2020_size_000000000301.png
12,0.10511205190671433,0.5,26,90.0,1,26.png,90.0,0.5,1,dicarlo.Marques2020_size_000000000302.png
12,0.10511205190671433,0.5,27,90.0,1,27.png,135.0,0.5,1,dicarlo.Marques2020_size_000000000303.png
12,0.10511205190671433,0.5,28,90.0,1,28.png,180.0,0.5,1,dicarlo.Marques2020_size_000000000304.png
12,0.10511205190671433,0.5,29,90.0,1,29.png,225.0,0.5,1,dicarlo.Marques2020_size_000000000305.png
12,0.10511205190671433,0.5,30,90.0,1,30.png,270.0,0.5,1,dicarlo.Marques2020_size_000000000306.png
12,0.10511205190671433,0.5,31,90.0,1,31.png,315.0,0.5,1,dicarlo.Marques2020_size_000000000307.png
12,0.10511205190671433,0.5,32,120.0,1,32.png,0.0,0.5,1,dicarlo.Marques2020_size_000000000400.png
12,0.10511205190671433,0.5,33,120.0,1,33.png,45.0,0.5,1,dicarlo.Marques2020_size_000000000401.png
12,0.10511205190671433,0.5,34,120.0,1,34.png,90.0,0.5,1,dicarlo.Marques2020_size_000000000402.png
12,0.10511205190671433,0.5,35,120.0,1,35.png,135.0,0.5,1,dicarlo.Marques2020_size_000000000403.png
12,0.10511205190671433,0.5,36,120.0,1,36.png,180.0,0.5,1,dicarlo.Marques2020_size_000000000404.png
12,0.10511205190671433,0.5,37,120.0,1,37.png,225.0,0.5,1,dicarlo.Marques2020_size_000000000405.png
12,0.10511205190671433,0.5,38,120.0,1,38.png,270.0,0.5,1,dicarlo.Marques2020_size_000000000406.png
12,0.10511205190671433,0.5,39,120.0,1,39.png,315.0,0.5,1,dicarlo.Marques2020_size_000000000407.png
12,0.10511205190671433,0.5,40,150.0,1,40.png,0.0,0.5,1,dicarlo.Marques2020_size_000000000500.png
12,0.10511205190671433,0.5,41,150.0,1,41.png,45.0,0.5,1,dicarlo.Marques2020_size_000000000501.png
12,0.10511205190671433,0.5,42,150.0,1,42.png,90.0,0.5,1,dicarlo.Marques2020_size_000000000502.png
12,0.10511205190671433,0.5,43,150.0,1,43.png,135.0,0.5,1,dicarlo.Marques2020_size_000000000503.png
12,0.10511205190671433,0.5,44,150.0,1,44.png,180.0,0.5,1,dicarlo.Marques2020_size_000000000504.png
12,0.10511205190671433,0.5,45,150.0,1,45.png,225.0,0.5,1,dicarlo.Marques2020_size_000000000505.png
12,0.10511205190671433,0.5,46,150.0,1,46.png,270.0,0.5,1,dicarlo.Marques2020_size_000000000506.png
12,0.10511205190671433,0.5,47,150.0,1,47.png,315.0,0.5,1,dicarlo.Marques2020_size_000000000507.png
12,0.10511205190671433,0.5,48,0.0,1,48.png,0.0,0.5,2,dicarlo.Marques2020_size_000000010000.png
12,0.10511205190671433,0.5,49,0.0,1,49.png,45.0,0.5,2,dicarlo.Marques2020_size_000000010001.png
12,0.10511205190671433,0.5,50,0.0,1,50.png,90.0,0.5,2,dicarlo.Marques2020_size_000000010002.png
12,0.10511205190671433,0.5,51,0.0,1,51.png,135.0,0.5,2,dicarlo.Marques2020_size_000000010003.png
12,0.10511205190671433,0.5,52,0.0,1,52.png,180.0,0.5,2,dicarlo.Marques2020_size_000000010004.png
12,0.10511205190671433,0.5,53,0.0,1,53.png,225.0,0.5,2,dicarlo.Marques2020_size_000000010005.png
12,0.10511205190671433,0.5,54,0.0,1,54.png,270.0,0.5,2,dicarlo.Marques2020_size_000000010006.png
12,0.10511205190671433,0.5,55,0.0,1,55.png,315.0,0.5,2,dicarlo.Marques2020_size_000000010007.png
12,0.10511205190671433,0.5,56,30.0,1,56.png,0.0,0.5,2,dicarlo.Marques2020_size_000000010100.png
12,0.10511205190671433,0.5,57,30.0,1,57.png,45.0,0.5,2,dicarlo.Marques2020_size_000000010101.png
12,0.10511205190671433,0.5,58,30.0,1,58.png,90.0,0.5,2,dicarlo.Marques2020_size_000000010102.png
12,0.10511205190671433,0.5,59,30.0,1,59.png,135.0,0.5,2,dicarlo.Marques2020_size_000000010103.png
12,0.10511205190671433,0.5,60,30.0,1,60.png,180.0,0.5,2,dicarlo.Marques2020_size_000000010104.png
12,0.10511205190671433,0.5,61,30.0,1,61.png,225.0,0.5,2,dicarlo.Marques2020_size_000000010105.png
12,0.10511205190671433,0.5,62,30.0,1,62.png,270.0,0.5,2,dicarlo.Marques2020_size_000000010106.png
12,0.10511205190671433,0.5,63,30.0,1,63.png,315.0,0.5,2,dicarlo.Marques2020_size_000000010107.png
12,0.10511205190671433,0.5,64,60.0,1,64.png,0.0,0.5,2,dicarlo.Marques2020_size_000000010200.png
12,0.10511205190671433,0.5,65,60.0,1,65.png,45.0,0.5,2,dicarlo.Marques2020_size_000000010201.png
12,0.10511205190671433,0.5,66,60.0,1,66.png,90.0,0.5,2,dicarlo.Marques2020_size_000000010202.png
12,0.10511205190671433,0.5,67,60.0,1,67.png,135.0,0.5,2,dicarlo.Marques2020_size_000000010203.png
12,0.10511205190671433,0.5,68,60.0,1,68.png,180.0,0.5,2,dicarlo.Marques2020_size_000000010204.png
12,0.10511205190671433,0.5,69,60.0,1,69.png,225.0,0.5,2,dicarlo.Marques2020_size_000000010205.png
12,0.10511205190671433,0.5,70,60.0,1,70.png,270.0,0.5,2,dicarlo.Marques2020_size_000000010206.png
12,0.10511205190671433,0.5,71,60.0,1,71.png,315.0,0.5,2,dicarlo.Marques2020_size_000000010207.png
12,0.10511205190671433,0.5,72,90.0,1,72.png,0.0,0.5,2,dicarlo.Marques2020_size_000000010300.png
12,0.10511205190671433,0.5,73,90.0,1,73.png,45.0,0.5,2,dicarlo.Marques2020_size_000000010301.png
12,0.10511205190671433,0.5,74,90.0,1,74.png,90.0,0.5,2,dicarlo.Marques2020_size_000000010302.png
12,0.10511205190671433,0.5,75,90.0,1,75.png,135.0,0.5,2,dicarlo.Marques2020_size_000000010303.png
12,0.10511205190671433,0.5,76,90.0,1,76.png,180.0,0.5,2,dicarlo.Marques2020_size_000000010304.png
12,0.10511205190671433,0.5,77,90.0,1,77.png,225.0,0.5,2,dicarlo.Marques2020_size_000000010305.png
12,0.10511205190671433,0.5,78,90.0,1,78.png,270.0,0.5,2,dicarlo.Marques2020_size_000000010306.png
12,0.10511205190671433,0.5,79,90.0,1,79.png,315.0,0.5,2,dicarlo.Marques2020_size_000000010307.png
12,0.10511205190671433,0.5,80,120.0,1,80.png,0.0,0.5,2,dicarlo.Marques2020_size_000000010400.png
12,0.10511205190671433,0.5,81,120.0,1,81.png,45.0,0.5,2,dicarlo.Marques2020_size_000000010401.png
12,0.10511205190671433,0.5,82,120.0,1,82.png,90.0,0.5,2,dicarlo.Marques2020_size_000000010402.png
12,0.10511205190671433,0.5,83,120.0,1,83.png,135.0,0.5,2,dicarlo.Marques2020_size_000000010403.png
12,0.10511205190671433,0.5,84,120.0,1,84.png,180.0,0.5,2,dicarlo.Marques2020_size_000000010404.png
12,0.10511205190671433,0.5,85,120.0,1,85.png,225.0,0.5,2,dicarlo.Marques2020_size_000000010405.png
12,0.10511205190671433,0.5,86,120.0,1,86.png,270.0,0.5,2,dicarlo.Marques2020_size_000000010406.png
12,0.10511205190671433,0.5,87,120.0,1,87.png,315.0,0.5,2,dicarlo.Marques2020_size_000000010407.png
12,0.10511205190671433,0.5,88,150.0,1,88.png,0.0,0.5,2,dicarlo.Marques2020_size_000000010500.png
12,0.10511205190671433,0.5,89,150.0,1,89.png,45.0,0.5,2,dicarlo.Marques2020_size_000000010501.png
12,0.10511205190671433,0.5,90,150.0,1,90.png,90.0,0.5,2,dicarlo.Marques2020_size_000000010502.png
12,0.10511205190671433,0.5,91,150.0,1,91.png,135.0,0.5,2,dicarlo.Marques2020_size_000000010503.png
12,0.10511205190671433,0.5,92,150.0,1,92.png,180.0,0.5,2,dicarlo.Marques2020_size_000000010504.png
12,0.10511205190671433,0.5,93,150.0,1,93.png,225.0,0.5,2,dicarlo.Marques2020_size_000000010505.png
12,0.10511205190671433,0.5,94,150.0,1,94.png,270.0,0.5,2,dicarlo.Marques2020_size_000000010506.png
12,0.10511205190671433,0.5,95,150.0,1,95.png,315.0,0.5,2,dicarlo.Marques2020_size_000000010507.png
12,0.10511205190671433,0.5,96,0.0,1,96.png,0.0,0.5,4,dicarlo.Marques2020_size_000000020000.png
12,0.10511205190671433,0.5,97,0.0,1,97.png,45.0,0.5,4,dicarlo.Marques2020_size_000000020001.png
12,0.10511205190671433,0.5,98,0.0,1,98.png,90.0,0.5,4,dicarlo.Marques2020_size_000000020002.png
12,0.10511205190671433,0.5,99,0.0,1,99.png,135.0,0.5,4,dicarlo.Marques2020_size_000000020003.png
12,0.10511205190671433,0.5,100,0.0,1,100.png,180.0,0.5,4,dicarlo.Marques2020_size_000000020004.png
12,0.10511205190671433,0.5,101,0.0,1,101.png,225.0,0.5,4,dicarlo.Marques2020_size_000000020005.png
12,0.10511205190671433,0.5,102,0.0,1,102.png,270.0,0.5,4,dicarlo.Marques2020_size_000000020006.png
12,0.10511205190671433,0.5,103,0.0,1,103.png,315.0,0.5,4,dicarlo.Marques2020_size_000000020007.png
12,0.10511205190671433,0.5,104,30.0,1,104.png,0.0,0.5,4,dicarlo.Marques2020_size_000000020100.png
12,0.10511205190671433,0.5,105,30.0,1,105.png,45.0,0.5,4,dicarlo.Marques2020_size_000000020101.png
12,0.10511205190671433,0.5,106,30.0,1,106.png,90.0,0.5,4,dicarlo.Marques2020_size_000000020102.png
12,0.10511205190671433,0.5,107,30.0,1,107.png,135.0,0.5,4,dicarlo.Marques2020_size_000000020103.png
12,0.10511205190671433,0.5,108,30.0,1,108.png,180.0,0.5,4,dicarlo.Marques2020_size_000000020104.png
12,0.10511205190671433,0.5,109,30.0,1,109.png,225.0,0.5,4,dicarlo.Marques2020_size_000000020105.png
12,0.10511205190671433,0.5,110,30.0,1,110.png,270.0,0.5,4,dicarlo.Marques2020_size_000000020106.png
12,0.10511205190671433,0.5,111,30.0,1,111.png,315.0,0.5,4,dicarlo.Marques2020_size_000000020107.png
12,0.10511205190671433,0.5,112,60.0,1,112.png,0.0,0.5,4,dicarlo.Marques2020_size_000000020200.png
12,0.10511205190671433,0.5,113,60.0,1,113.png,45.0,0.5,4,dicarlo.Marques2020_size_000000020201.png
12,0.10511205190671433,0.5,114,60.0,1,114.png,90.0,0.5,4,dicarlo.Marques2020_size_000000020202.png
12,0.10511205190671433,0.5,115,60.0,1,115.png,135.0,0.5,4,dicarlo.Marques2020_size_000000020203.png
12,0.10511205190671433,0.5,116,60.0,1,116.png,180.0,0.5,4,dicarlo.Marques2020_size_000000020204.png
12,0.10511205190671433,0.5,117,60.0,1,117.png,225.0,0.5,4,dicarlo.Marques2020_size_000000020205.png
12,0.10511205190671433,0.5,118,60.0,1,118.png,270.0,0.5,4,dicarlo.Marques2020_size_000000020206.png
12,0.10511205190671433,0.5,119,60.0,1,119.png,315.0,0.5,4,dicarlo.Marques2020_size_000000020207.png
12,0.10511205190671433,0.5,120,90.0,1,120.png,0.0,0.5,4,dicarlo.Marques2020_size_000000020300.png
12,0.10511205190671433,0.5,121,90.0,1,121.png,45.0,0.5,4,dicarlo.Marques2020_size_000000020301.png
12,0.10511205190671433,0.5,122,90.0,1,122.png,90.0,0.5,4,dicarlo.Marques2020_size_000000020302.png
12,0.10511205190671433,0.5,123,90.0,1,123.png,135.0,0.5,4,dicarlo.Marques2020_size_000000020303.png
12,0.10511205190671433,0.5,124,90.0,1,124.png,180.0,0.5,4,dicarlo.Marques2020_size_000000020304.png
12,0.10511205190671433,0.5,125,90.0,1,125.png,225.0,0.5,4,dicarlo.Marques2020_size_000000020305.png
12,0.10511205190671433,0.5,126,90.0,1,126.png,270.0,0.5,4,dicarlo.Marques2020_size_000000020306.png
12,0.10511205190671433,0.5,127,90.0,1,127.png,315.0,0.5,4,dicarlo.Marques2020_size_000000020307.png
12,0.10511205190671433,0.5,128,120.0,1,128.png,0.0,0.5,4,dicarlo.Marques2020_size_000000020400.png
12,0.10511205190671433,0.5,129,120.0,1,129.png,45.0,0.5,4,dicarlo.Marques2020_size_000000020401.png
12,0.10511205190671433,0.5,130,120.0,1,130.png,90.0,0.5,4,dicarlo.Marques2020_size_000000020402.png
12,0.10511205190671433,0.5,131,120.0,1,131.png,135.0,0.5,4,dicarlo.Marques2020_size_000000020403.png
12,0.10511205190671433,0.5,132,120.0,1,132.png,180.0,0.5,4,dicarlo.Marques2020_size_000000020404.png
12,0.10511205190671433,0.5,133,120.0,1,133.png,225.0,0.5,4,dicarlo.Marques2020_size_000000020405.png
12,0.10511205190671433,0.5,134,120.0,1,134.png,270.0,0.5,4,dicarlo.Marques2020_size_000000020406.png
12,0.10511205190671433,0.5,135,120.0,1,135.png,315.0,0.5,4,dicarlo.Marques2020_size_000000020407.png
12,0.10511205190671433,0.5,136,150.0,1,136.png,0.0,0.5,4,dicarlo.Marques2020_size_000000020500.png
12,0.10511205190671433,0.5,137,150.0,1,137.png,45.0,0.5,4,dicarlo.Marques2020_size_000000020501.png
12,0.10511205190671433,0.5,138,150.0,1,138.png,90.0,0.5,4,dicarlo.Marques2020_size_000000020502.png
12,0.10511205190671433,0.5,139,150.0,1,139.png,135.0,0.5,4,dicarlo.Marques2020_size_000000020503.png
12,0.10511205190671433,0.5,140,150.0,1,140.png,180.0,0.5,4,dicarlo.Marques2020_size_000000020504.png
12,0.10511205190671433,0.5,141,150.0,1,141.png,225.0,0.5,4,dicarlo.Marques2020_size_000000020505.png
12,0.10511205190671433,0.5,142,150.0,1,142.png,270.0,0.5,4,dicarlo.Marques2020_size_000000020506.png
12,0.10511205190671433,0.5,143,150.0,1,143.png,315.0,0.5,4,dicarlo.Marques2020_size_000000020507.png
12,0.14865088937534013,0.5,144,0.0,1,144.png,0.0,0.5,1,dicarlo.Marques2020_size_000001000000.png
12,0.14865088937534013,0.5,145,0.0,1,145.png,45.0,0.5,1,dicarlo.Marques2020_size_000001000001.png
12,0.14865088937534013,0.5,146,0.0,1,146.png,90.0,0.5,1,dicarlo.Marques2020_size_000001000002.png
